
Bogført;Tekst;Rentedato;Beløb;Saldo
07-10-2013;Fr. automat den 04.10. kl. 16.10   0400 eksnr.731800898;07-10-2013;-200,00;125367,00
07-10-2013;Dankort-nota Elite Købmand  27039;07-10-2013;-48,00;125567,00
07-10-2013;Dankort-nota Vila           65552;07-10-2013;-899,85;125615,00
07-10-2013;Dankort-nota MATAS - 14621  20809;07-10-2013;-400,00;126514,85
07-10-2013;Dankort-nota Name it        37933;07-10-2013;-359,90;126914,85
07-10-2013;Dankort-nota MATAS - 14621  20805;07-10-2013;-577,00;127274,75
07-10-2013;Dankort-nota GRØNDAL Multic 15754;07-10-2013;-80,00;127851,75
04-10-2013;Dankort-nota Candy Kiosken  11399;04-10-2013;-51,50;127931,75
03-10-2013;Visa køb DKK      41,00            APPLE ITUNES STORE-D               Den 01.10;03-10-2013;-41,00;127983,25
03-10-2013;Dankort-nota Gladsaxe Rådhus 5507;03-10-2013;-100,00;128024,25
02-10-2013;Bs betaling AMNESTY INTERNATIONA;02-10-2013;-50,00;128124,25
02-10-2013;Dankort-nota Kösk Kebab     23325;02-10-2013;-188,00;128174,25
01-10-2013;Bs betaling DR LICENS;01-10-2013;-1212,50;128362,25
01-10-2013;Dankort-nota Drive In Bio A 19173;01-10-2013;-50,00;129574,75
